NodeID	Property	Value
311920	title	Coffee and Tea Manufacturing 
31193	title	Flavoring Syrup and Concentrate Manufacturing
311930	title	Flavoring Syrup and Concentrate Manufacturing
31194	title	Seasoning and Dressing Manufacturing
311941	title	Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing 
311942	title	Spice and Extract Manufacturing 
31199	title	All Other Food Manufacturing
311991	title	Perishable Prepared Food Manufacturing 
311999	title	All Other Miscellaneous Food Manufacturing 
312	title	Beverage and Tobacco Product Manufacturing
3121	title	Beverage Manufacturing
31211	title	Soft Drink and Ice Manufacturing
312111	title	Soft Drink Manufacturing 
312112	title	Bottled Water Manufacturing 
312113	title	Ice Manufacturing 
31212	title	Breweries
312120	title	Breweries
31213	title	Wineries
312130	title	Wineries 
31214	title	Distilleries
312140	title	Distilleries 
3122	title	Tobacco Manufacturing
31223	title	Tobacco Manufacturing
312230	title	Tobacco Manufacturing 
313	title	Textile Mills
3131	title	Fiber, Yarn, and Thread Mills
31311	title	Fiber, Yarn, and Thread Mills
313110	title	Fiber, Yarn, and Thread Mills 
3132	title	Fabric Mills
31321	title	Broadwoven Fabric Mills
313210	title	Broadwoven Fabric Mills
31322	title	Narrow Fabric Mills and Schiffli Machine Embroidery
313220	title	Narrow Fabric Mills and Schiffli Machine Embroidery
31323	title	Nonwoven Fabric Mills
313230	title	Nonwoven Fabric Mills
31324	title	Knit Fabric Mills
313240	title	Knit Fabric Mills
3133	title	Textile and Fabric Finishing and Fabric Coating Mills
31331	title	Textile and Fabric Finishing Mills
313310	title	Textile and Fabric Finishing Mills 
31332	title	Fabric Coating Mills
313320	title	Fabric Coating Mills
314	title	Textile Product Mills
3141	title	Textile Furnishings Mills
31411	title	Carpet and Rug Mills
314110	title	Carpet and Rug Mills
31412	title	Curtain and Linen Mills
314120	title	Curtain and Linen Mills
3149	title	Other Textile Product Mills
31491	title	Textile Bag and Canvas Mills
314910	title	Textile Bag and Canvas Mills 
31499	title	All Other Textile Product Mills
314994	title	Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills 
314999	title	All Other Miscellaneous Textile Product Mills 
315	title	Apparel Manufacturing
3151	title	Apparel Knitting Mills
31511	title	Hosiery and Sock Mills
315110	title	Hosiery and Sock Mills
31519	title	Other Apparel Knitting Mills
315190	title	Other Apparel Knitting Mills 
3152	title	Cut and Sew Apparel Manufacturing
31521	title	Cut and Sew Apparel Contractors 
315210	title	Cut and Sew Apparel Contractors 
31522	title	Men’s and Boys’ Cut and Sew Apparel Manufacturing 
315220	title	Men’s and Boys’ Cut and Sew Apparel Manufacturing 
31524	title	Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing
315240	title	Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing 
31528	title	Other Cut and Sew Apparel Manufacturing 
315280	title	Other Cut and Sew Apparel Manufacturing 
3159	title	Apparel Accessories and Other Apparel Manufacturing
31599	title	Apparel Accessories and Other Apparel Manufacturing
315990	title	Apparel Accessories and Other Apparel Manufacturing 
316	title	Leather and Allied Product Manufacturing
3161	title	Leather and Hide Tanning and Finishing
31611	title	Leather and Hide Tanning and Finishing
316110	title	Leather and Hide Tanning and Finishing
3162	title	Footwear Manufacturing
31621	title	Footwear Manufacturing
316210	title	Footwear Manufacturing 
3169	title	Other Leather and Allied Product Manufacturing
31699	title	Other Leather and Allied Product Manufacturing
316992	title	Women's Handbag and Purse Manufacturing 
316998	title	All Other Leather Good and Allied Product Manufacturing 
321	title	Wood Product Manufacturing
3211	title	Sawmills and Wood Preservation
32111	title	Sawmills and Wood Preservation
321113	title	Sawmills 
321114	title	Wood Preservation 
3212	title	Veneer, Plywood, and Engineered Wood Product Manufacturing
32121	title	Veneer, Plywood, and Engineered Wood Product Manufacturing
321211	title	Hardwood Veneer and Plywood Manufacturing 
321212	title	Softwood Veneer and Plywood Manufacturing 
321213	title	Engineered Wood Member (except Truss) Manufacturing 
321214	title	Truss Manufacturing 
321219	title	Reconstituted Wood Product Manufacturing 
3219	title	Other Wood Product Manufacturing
32191	title	Millwork
321911	title	Wood Window and Door Manufacturing 
321912	title	Cut Stock, Resawing Lumber, and Planing 
321918	title	Other Millwork (including Flooring) 
32192	title	Wood Container and Pallet Manufacturing
321920	title	Wood Container and Pallet Manufacturing
32199	title	All Other Wood Product Manufacturing
321991	title	Manufactured Home (Mobile Home) Manufacturing 
321992	title	Prefabricated Wood Building Manufacturing 
321999	title	All Other Miscellaneous Wood Product Manufacturing 
322	title	Paper Manufacturing
3221	title	Pulp, Paper, and Paperboard Mills
32211	title	Pulp Mills
322110	title	Pulp Mills 
32212	title	Paper Mills
322121	title	Paper (except Newsprint) Mills 
322122	title	Newsprint Mills 
32213	title	Paperboard Mills
322130	title	Paperboard Mills 
3222	title	Converted Paper Product Manufacturing
32221	title	Paperboard Container Manufacturing
322211	title	Corrugated and Solid Fiber Box Manufacturing 
322212	title	Folding Paperboard Box Manufacturing 
322219	title	Other Paperboard Container Manufacturing 
32222	title	Paper Bag and Coated and Treated Paper Manufacturing
322220	title	Paper Bag and Coated and Treated Paper Manufacturing
32223	title	Stationery Product Manufacturing
322230	title	Stationery Product Manufacturing
32229	title	Other Converted Paper Product Manufacturing
322291	title	Sanitary Paper Product Manufacturing 
322299	title	All Other Converted Paper Product Manufacturing 
323	title	Printing and Related Support Activities
3231	title	Printing and Related Support Activities
32311	title	Printing
323111	title	Commercial Printing (except Screen and Books) 
323113	title	Commercial Screen Printing 
323117	title	Books Printing 
32312	title	Support Activities for Printing
323120	title	Support Activities for Printing
324	title	Petroleum and Coal Products Manufacturing
3241	title	Petroleum and Coal Products Manufacturing
32411	title	Petroleum Refineries
324110	title	Petroleum Refineries
32412	title	Asphalt Paving, Roofing, and Saturated Materials Manufacturing
324121	title	Asphalt Paving Mixture and Block Manufacturing 
324122	title	Asphalt Shingle and Coating Materials Manufacturing 
32419	title	Other Petroleum and Coal Products Manufacturing
324191	title	Petroleum Lubricating Oil and Grease Manufacturing 
324199	title	All Other Petroleum and Coal Products Manufacturing 
325	title	Chemical Manufacturing
3251	title	Basic Chemical Manufacturing
32511	title	Petrochemical Manufacturing
325110	title	Petrochemical Manufacturing
32512	title	Industrial Gas Manufacturing
325120	title	Industrial Gas Manufacturing
32513	title	Synthetic Dye and Pigment Manufacturing
325130	title	Synthetic Dye and Pigment Manufacturing
32518	title	Other Basic Inorganic Chemical Manufacturing
325180	title	Other Basic Inorganic Chemical Manufacturing 
32519	title	Other Basic Organic Chemical Manufacturing
325193	title	Ethyl Alcohol Manufacturing 
325194	title	Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing 
325199	title	All Other Basic Organic Chemical Manufacturing 
3252	title	Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing
32521	title	Resin and Synthetic Rubber Manufacturing
325211	title	Plastics Material and Resin Manufacturing 
325212	title	Synthetic Rubber Manufacturing 
32522	title	Artificial and Synthetic Fibers and Filaments Manufacturing
325220	title	Artificial and Synthetic Fibers and Filaments Manufacturing
3253	title	Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing
32531	title	Fertilizer Manufacturing
325311	title	Nitrogenous Fertilizer Manufacturing 
325312	title	Phosphatic Fertilizer Manufacturing 
325314	title	Fertilizer (Mixing Only) Manufacturing 
32532	title	Pesticide and Other Agricultural Chemical Manufacturing
325320	title	Pesticide and Other Agricultural Chemical Manufacturing
3254	title	Pharmaceutical and Medicine Manufacturing
32541	title	Pharmaceutical and Medicine Manufacturing
325411	title	Medicinal and Botanical Manufacturing 
325412	title	Pharmaceutical Preparation Manufacturing 
325413	title	In-Vitro Diagnostic Substance Manufacturing 
325414	title	Biological Product (except Diagnostic) Manufacturing 
3255	title	Paint, Coating, and Adhesive Manufacturing
32551	title	Paint and Coating Manufacturing
325510	title	Paint and Coating Manufacturing
32552	title	Adhesive Manufacturing
325520	title	Adhesive Manufacturing
3256	title	Soap, Cleaning Compound, and Toilet Preparation Manufacturing
32561	title	Soap and Cleaning Compound Manufacturing
325611	title	Soap and Other Detergent Manufacturing 
325612	title	Polish and Other Sanitation Good Manufacturing 
325613	title	Surface Active Agent Manufacturing 
32562	title	Toilet Preparation Manufacturing
325620	title	Toilet Preparation Manufacturing
3259	title	Other Chemical Product and Preparation Manufacturing
32591	title	Printing Ink Manufacturing
325910	title	Printing Ink Manufacturing
32592	title	Explosives Manufacturing
325920	title	Explosives Manufacturing
32599	title	All Other Chemical Product and Preparation Manufacturing
325991	title	Custom Compounding of Purchased Resins 
325992	title	Photographic Film, Paper, Plate, and Chemical Manufacturing 
325998	title	All Other Miscellaneous Chemical Product and Preparation Manufacturing 
326	title	Plastics and Rubber Products Manufacturing
3261	title	Plastics Product Manufacturing
32611	title	Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing
326111	title	Plastics Bag and Pouch Manufacturing 
326112	title	Plastics Packaging Film and Sheet (including Laminated) Manufacturing 
326113	title	Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing 
32612	title	Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing
326121	title	Unlaminated Plastics Profile Shape Manufacturing 
326122	title	Plastics Pipe and Pipe Fitting Manufacturing 
32613	title	Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing
326130	title	Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing
32614	title	Polystyrene Foam Product Manufacturing
326140	title	Polystyrene Foam Product Manufacturing
32615	title	Urethane and Other Foam Product (except Polystyrene) Manufacturing
326150	title	Urethane and Other Foam Product (except Polystyrene) Manufacturing
32616	title	Plastics Bottle Manufacturing
326160	title	Plastics Bottle Manufacturing
32619	title	Other Plastics Product Manufacturing
326191	title	Plastics Plumbing Fixture Manufacturing 
326199	title	All Other Plastics Product Manufacturing 
3262	title	Rubber Product Manufacturing
32621	title	Tire Manufacturing
326211	title	Tire Manufacturing (except Retreading) 
326212	title	Tire Retreading 
32622	title	Rubber and Plastics Hoses and Belting Manufacturing
326220	title	Rubber and Plastics Hoses and Belting Manufacturing
32629	title	Other Rubber Product Manufacturing
326291	title	Rubber Product Manufacturing for Mechanical Use 
326299	title	All Other Rubber Product Manufacturing 
327	title	Nonmetallic Mineral Product Manufacturing
3271	title	Clay Product and Refractory Manufacturing
32711	title	Pottery, Ceramics, and Plumbing Fixture Manufacturing
327110	title	Pottery, Ceramics, and Plumbing Fixture Manufacturing 
32712	title	Clay Building Material and Refractories Manufacturing
327120	title	Clay Building Material and Refractories Manufacturing 
3272	title	Glass and Glass Product Manufacturing
32721	title	Glass and Glass Product Manufacturing
327211	title	Flat Glass Manufacturing 
327212	title	Other Pressed and Blown Glass and Glassware Manufacturing 
327213	title	Glass Container Manufacturing 
327215	title	Glass Product Manufacturing Made of Purchased Glass 
3273	title	Cement and Concrete Product Manufacturing
32731	title	Cement Manufacturing
327310	title	Cement Manufacturing
32732	title	Ready-Mix Concrete Manufacturing
327320	title	Ready-Mix Concrete Manufacturing
32733	title	Concrete Pipe, Brick, and Block Manufacturing
327331	title	Concrete Block and Brick Manufacturing 
327332	title	Concrete Pipe Manufacturing 
32739	title	Other Concrete Product Manufacturing
327390	title	Other Concrete Product Manufacturing 
3274	title	Lime and Gypsum Product Manufacturing
32741	title	Lime Manufacturing
327410	title	Lime Manufacturing
32742	title	Gypsum Product Manufacturing
327420	title	Gypsum Product Manufacturing
3279	title	Other Nonmetallic Mineral Product Manufacturing
32791	title	Abrasive Product Manufacturing
327910	title	Abrasive Product Manufacturing
32799	title	All Other Nonmetallic Mineral Product Manufacturing
327991	title	Cut Stone and Stone Product Manufacturing 
327992	title	Ground or Treated Mineral and Earth Manufacturing 
327993	title	Mineral Wool Manufacturing 
327999	title	All Other Miscellaneous Nonmetallic Mineral Product Manufacturing 
331	title	Primary Metal Manufacturing
3311	title	Iron and Steel Mills and Ferroalloy Manufacturing
33111	title	Iron and Steel Mills and Ferroalloy Manufacturing
331110	title	Iron and Steel Mills and Ferroalloy Manufacturing 
3312	title	Steel Product Manufacturing from Purchased Steel
33121	title	Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
331210	title	Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
33122	title	Rolling and Drawing of Purchased Steel
331221	title	Rolled Steel Shape Manufacturing 
331222	title	Steel Wire Drawing 
3313	title	Alumina and Aluminum Production and Processing
33131	title	Alumina and Aluminum Production and Processing
331313	title	Alumina Refining and Primary Aluminum Production 
331314	title	Secondary Smelting and Alloying of Aluminum 
331315	title	Aluminum Sheet, Plate, and Foil Manufacturing 
331318	title	Other Aluminum Rolling, Drawing, and Extruding 
3314	title	Nonferrous Metal (except Aluminum) Production and Processing
33141	title	Nonferrous Metal (except Aluminum) Smelting and Refining
331410	title	Nonferrous Metal (except Aluminum) Smelting and Refining 
33142	title	Copper Rolling, Drawing, Extruding, and Alloying
331420	title	Copper Rolling, Drawing, Extruding, and Alloying
33149	title	Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying
331491	title	Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding 
331492	title	Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) 
3315	title	Foundries
33151	title	Ferrous Metal Foundries
331511	title	Iron Foundries 
331512	title	Steel Investment Foundries 
331513	title	Steel Foundries (except Investment) 
33152	title	Nonferrous Metal Foundries
331523	title	Nonferrous Metal Die-Casting Foundries 
331524	title	Aluminum Foundries (except Die-Casting) 
331529	title	Other Nonferrous Metal Foundries (except Die-Casting) 
332	title	Fabricated Metal Product Manufacturing
3321	title	Forging and Stamping
33211	title	Forging and Stamping
332111	title	Iron and Steel Forging 
332112	title	Nonferrous Forging 
332114	title	Custom Roll Forming 
332117	title	Powder Metallurgy Part Manufacturing 
332119	title	Metal Crown, Closure, and Other Metal Stamping (except Automotive) 
3322	title	Cutlery and Handtool Manufacturing
33221	title	Cutlery and Handtool Manufacturing
332215	title	Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing 
332216	title	Saw Blade and Handtool Manufacturing 
3323	title	Architectural and Structural Metals Manufacturing
33231	title	Plate Work and Fabricated Structural Product Manufacturing
332311	title	Prefabricated Metal Building and Component Manufacturing 
332312	title	Fabricated Structural Metal Manufacturing 
332313	title	Plate Work Manufacturing 
33232	title	Ornamental and Architectural Metal Products Manufacturing
332321	title	Metal Window and Door Manufacturing 
332322	title	Sheet Metal Work Manufacturing 
332323	title	Ornamental and Architectural Metal Work Manufacturing 
3324	title	Boiler, Tank, and Shipping Container Manufacturing
33241	title	Power Boiler and Heat Exchanger Manufacturing
332410	title	Power Boiler and Heat Exchanger Manufacturing
33242	title	Metal Tank (Heavy Gauge) Manufacturing
332420	title	Metal Tank (Heavy Gauge) Manufacturing
33243	title	Metal Can, Box, and Other Metal Container (Light Gauge) Manufacturing
332431	title	Metal Can Manufacturing 
332439	title	Other Metal Container Manufacturing 
3325	title	Hardware Manufacturing
33251	title	Hardware Manufacturing
332510	title	Hardware Manufacturing
3326	title	Spring and Wire Product Manufacturing
33261	title	Spring and Wire Product Manufacturing
332613	title	Spring Manufacturing 
332618	title	Other Fabricated Wire Product Manufacturing 
3327	title	Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing
33271	title	Machine Shops
332710	title	Machine Shops
33272	title	Turned Product and Screw, Nut, and Bolt Manufacturing
332721	title	Precision Turned Product Manufacturing 
332722	title	Bolt, Nut, Screw, Rivet, and Washer Manufacturing 
3328	title	Coating, Engraving, Heat Treating, and Allied Activities
33281	title	Coating, Engraving, Heat Treating, and Allied Activities
332811	title	Metal Heat Treating 
332812	title	Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers 
332813	title	Electroplating, Plating, Polishing, Anodizing, and Coloring 
3329	title	Other Fabricated Metal Product Manufacturing
33291	title	Metal Valve Manufacturing
332911	title	Industrial Valve Manufacturing 
332912	title	Fluid Power Valve and Hose Fitting Manufacturing 
332913	title	Plumbing Fixture Fitting and Trim Manufacturing 
332919	title	Other Metal Valve and Pipe Fitting Manufacturing 
33299	title	All Other Fabricated Metal Product Manufacturing
332991	title	Ball and Roller Bearing Manufacturing
332992	title	Small Arms Ammunition Manufacturing 
332993	title	Ammunition (except Small Arms) Manufacturing 
332994	title	Small Arms, Ordnance, and Ordnance Accessories Manufacturing 
332996	title	Fabricated Pipe and Pipe Fitting Manufacturing 
332999	title	All Other Miscellaneous Fabricated Metal Product Manufacturing 
333	title	Machinery Manufacturing
3331	title	Agriculture, Construction, and Mining Machinery Manufacturing
33311	title	Agricultural Implement Manufacturing
333111	title	Farm Machinery and Equipment Manufacturing 
333112	title	Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing 
33312	title	Construction Machinery Manufacturing
333120	title	Construction Machinery Manufacturing
33313	title	Mining and Oil and Gas Field Machinery Manufacturing
333131	title	Mining Machinery and Equipment Manufacturing 
333132	title	Oil and Gas Field Machinery and Equipment Manufacturing 
3332	title	Industrial Machinery Manufacturing
33324	title	Industrial Machinery Manufacturing
333241	title	Food Product Machinery Manufacturing 
333242	title	Semiconductor Machinery Manufacturing 
333243	title	Sawmill, Woodworking, and Paper Machinery Manufacturing 
333244	title	Printing Machinery and Equipment Manufacturing 
333249	title	Other Industrial Machinery Manufacturing 
3333	title	Commercial and Service Industry Machinery Manufacturing
33331	title	Commercial and Service Industry Machinery Manufacturing
333314	title	Optical Instrument and Lens Manufacturing 
333316	title	Photographic and Photocopying Equipment Manufacturing 
333318	title	Other Commercial and Service Industry Machinery Manufacturing 
3334	title	Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing
33341	title	Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing
333413	title	Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing 
333414	title	Heating Equipment (except Warm Air Furnaces) Manufacturing 
333415	title	Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing 
3335	title	Metalworking Machinery Manufacturing
33351	title	Metalworking Machinery Manufacturing
333511	title	Industrial Mold Manufacturing 
333514	title	Special Die and Tool, Die Set, Jig, and Fixture Manufacturing 
333515	title	Cutting Tool and Machine Tool Accessory Manufacturing 
333517	title	Machine Tool Manufacturing 
333519	title	Rolling Mill and Other Metalworking Machinery Manufacturing 
3336	title	Engine, Turbine, and Power Transmission Equipment Manufacturing
33361	title	Engine, Turbine, and Power Transmission Equipment Manufacturing
333611	title	Turbine and Turbine Generator Set Units Manufacturing 
333612	title	Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing 
333613	title	Mechanical Power Transmission Equipment Manufacturing 
333618	title	Other Engine Equipment Manufacturing 
3339	title	Other General Purpose Machinery Manufacturing
33391	title	Pump and Compressor Manufacturing
333912	title	Air and Gas Compressor Manufacturing 
333914	title	Measuring, Dispensing, and Other Pumping Equipment Manufacturing 
33392	title	Material Handling Equipment Manufacturing
333921	title	Elevator and Moving Stairway Manufacturing 
333922	title	Conveyor and Conveying Equipment Manufacturing 
333923	title	Overhead Traveling Crane, Hoist, and Monorail System Manufacturing 
333924	title	Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing 
33399	title	All Other General Purpose Machinery Manufacturing
333991	title	Power-Driven Handtool Manufacturing 
333992	title	Welding and Soldering Equipment Manufacturing 
333993	title	Packaging Machinery Manufacturing 
333994	title	Industrial Process Furnace and Oven Manufacturing 
333995	title	Fluid Power Cylinder and Actuator Manufacturing 
333996	title	Fluid Power Pump and Motor Manufacturing 
333997	title	Scale and Balance Manufacturing 
333999	title	All Other Miscellaneous General Purpose Machinery Manufacturing 
334	title	Computer and Electronic Product Manufacturing
3341	title	Computer and Peripheral Equipment Manufacturing
33411	title	Computer and Peripheral Equipment Manufacturing
334111	title	Electronic Computer Manufacturing 
334112	title	Computer Storage Device Manufacturing 
334118	title	Computer Terminal and Other Computer Peripheral Equipment Manufacturing 
3342	title	Communications Equipment Manufacturing
33421	title	Telephone Apparatus Manufacturing
334210	title	Telephone Apparatus Manufacturing
33422	title	Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
334220	title	Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
33429	title	Other Communications Equipment Manufacturing
334290	title	Other Communications Equipment Manufacturing
3343	title	Audio and Video Equipment Manufacturing
33431	title	Audio and Video Equipment Manufacturing
334310	title	Audio and Video Equipment Manufacturing
3344	title	Semiconductor and Other Electronic Component Manufacturing
33441	title	Semiconductor and Other Electronic Component Manufacturing
334412	title	Bare Printed Circuit Board Manufacturing  
334413	title	Semiconductor and Related Device Manufacturing 
334416	title	Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing 
334417	title	Electronic Connector Manufacturing 
334418	title	Printed Circuit Assembly (Electronic Assembly) Manufacturing 
334419	title	Other Electronic Component Manufacturing 
3345	title	Navigational, Measuring, Electromedical, and Control Instruments Manufacturing
33451	title	Navigational, Measuring, Electromedical, and Control Instruments Manufacturing
334510	title	Electromedical and Electrotherapeutic Apparatus Manufacturing 
334511	title	Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing 
334512	title	Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use 
334513	title	Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables 
334514	title	Totalizing Fluid Meter and Counting Device Manufacturing 
334515	title	Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals 
334516	title	Analytical Laboratory Instrument Manufacturing 
334517	title	Irradiation Apparatus Manufacturing 
334519	title	Other Measuring and Controlling Device Manufacturing 
3346	title	Manufacturing and Reproducing Magnetic and Optical Media
33461	title	Manufacturing and Reproducing Magnetic and Optical Media
334613	title	Blank Magnetic and Optical Recording Media Manufacturing 
334614	title	Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing 
335	title	Electrical Equipment, Appliance, and Component Manufacturing
3351	title	Electric Lighting Equipment Manufacturing
33511	title	Electric Lamp Bulb and Part Manufacturing
335110	title	Electric Lamp Bulb and Part Manufacturing
33512	title	Lighting Fixture Manufacturing
335121	title	Residential Electric Lighting Fixture Manufacturing 
335122	title	Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing 
335129	title	Other Lighting Equipment Manufacturing 
3352	title	Household Appliance Manufacturing
33521	title	Small Electrical Appliance Manufacturing
335210	title	Small Electrical Appliance Manufacturing
33522	title	Major Household Appliance Manufacturing 
335220	title	Major Household Appliance Manufacturing 
3353	title	Electrical Equipment Manufacturing
33531	title	Electrical Equipment Manufacturing
335311	title	Power, Distribution, and Specialty Transformer Manufacturing 
335312	title	Motor and Generator Manufacturing 
335313	title	Switchgear and Switchboard Apparatus Manufacturing 
335314	title	Relay and Industrial Control Manufacturing 
3359	title	Other Electrical Equipment and Component Manufacturing
33591	title	Battery Manufacturing
335911	title	Storage Battery Manufacturing 
335912	title	Primary Battery Manufacturing 
33592	title	Communication and Energy Wire and Cable Manufacturing
335921	title	Fiber Optic Cable Manufacturing 
335929	title	Other Communication and Energy Wire Manufacturing 
33593	title	Wiring Device Manufacturing
335931	title	Current-Carrying Wiring Device Manufacturing 
335932	title	Noncurrent-Carrying Wiring Device Manufacturing 
33599	title	All Other Electrical Equipment and Component Manufacturing
335991	title	Carbon and Graphite Product Manufacturing 
335999	title	All Other Miscellaneous Electrical Equipment and Component Manufacturing 
336	title	Transportation Equipment Manufacturing
3361	title	Motor Vehicle Manufacturing
33611	title	Automobile and Light Duty Motor Vehicle Manufacturing
336111	title	Automobile Manufacturing 
336112	title	Light Truck and Utility Vehicle Manufacturing 
33612	title	Heavy Duty Truck Manufacturing
336120	title	Heavy Duty Truck Manufacturing
3362	title	Motor Vehicle Body and Trailer Manufacturing
33621	title	Motor Vehicle Body and Trailer Manufacturing
336211	title	Motor Vehicle Body Manufacturing 
336212	title	Truck Trailer Manufacturing 
336213	title	Motor Home Manufacturing 
336214	title	Travel Trailer and Camper Manufacturing 
3363	title	Motor Vehicle Parts Manufacturing
33631	title	Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
336310	title	Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
33632	title	Motor Vehicle Electrical and Electronic Equipment Manufacturing
336320	title	Motor Vehicle Electrical and Electronic Equipment Manufacturing
33633	title	Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
336330	title	Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
33634	title	Motor Vehicle Brake System Manufacturing
336340	title	Motor Vehicle Brake System Manufacturing
33635	title	Motor Vehicle Transmission and Power Train Parts Manufacturing
336350	title	Motor Vehicle Transmission and Power Train Parts Manufacturing
33636	title	Motor Vehicle Seating and Interior Trim Manufacturing
336360	title	Motor Vehicle Seating and Interior Trim Manufacturing
33637	title	Motor Vehicle Metal Stamping
336370	title	Motor Vehicle Metal Stamping
33639	title	Other Motor Vehicle Parts Manufacturing
336390	title	Other Motor Vehicle Parts Manufacturing
3364	title	Aerospace Product and Parts Manufacturing
33641	title	Aerospace Product and Parts Manufacturing
336411	title	Aircraft Manufacturing 
336412	title	Aircraft Engine and Engine Parts Manufacturing 
336413	title	Other Aircraft Parts and Auxiliary Equipment Manufacturing 
336414	title	Guided Missile and Space Vehicle Manufacturing 
336415	title	Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing 
336419	title	Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing 
3365	title	Railroad Rolling Stock Manufacturing
33651	title	Railroad Rolling Stock Manufacturing
336510	title	Railroad Rolling Stock Manufacturing
3366	title	Ship and Boat Building
33661	title	Ship and Boat Building
336611	title	Ship Building and Repairing 
336612	title	Boat Building 
3369	title	Other Transportation Equipment Manufacturing
33699	title	Other Transportation Equipment Manufacturing
336991	title	Motorcycle, Bicycle, and Parts Manufacturing 
336992	title	Military Armored Vehicle, Tank, and Tank Component Manufacturing 
336999	title	All Other Transportation Equipment Manufacturing 
337	title	Furniture and Related Product Manufacturing
3371	title	Household and Institutional Furniture and Kitchen Cabinet Manufacturing
33711	title	Wood Kitchen Cabinet and Countertop Manufacturing
337110	title	Wood Kitchen Cabinet and Countertop Manufacturing
33712	title	Household and Institutional Furniture Manufacturing
337121	title	Upholstered Household Furniture Manufacturing 
337122	title	Nonupholstered Wood Household Furniture Manufacturing 
337124	title	Metal Household Furniture Manufacturing 
337125	title	Household Furniture (except Wood and Metal) Manufacturing 
337127	title	Institutional Furniture Manufacturing 
3372	title	Office Furniture (including Fixtures) Manufacturing
33721	title	Office Furniture (including Fixtures) Manufacturing
337211	title	Wood Office Furniture Manufacturing 
337212	title	Custom Architectural Woodwork and Millwork Manufacturing 
337214	title	Office Furniture (except Wood) Manufacturing 
337215	title	Showcase, Partition, Shelving, and Locker Manufacturing 
3379	title	Other Furniture Related Product Manufacturing
33791	title	Mattress Manufacturing
337910	title	Mattress Manufacturing
33792	title	Blind and Shade Manufacturing
337920	title	Blind and Shade Manufacturing
339	title	Miscellaneous Manufacturing
3391	title	Medical Equipment and Supplies Manufacturing
33911	title	Medical Equipment and Supplies Manufacturing
339112	title	Surgical and Medical Instrument Manufacturing 
339113	title	Surgical Appliance and Supplies Manufacturing 
339114	title	Dental Equipment and Supplies Manufacturing 
339115	title	Ophthalmic Goods Manufacturing 
339116	title	Dental Laboratories 
3399	title	Other Miscellaneous Manufacturing
33991	title	Jewelry and Silverware Manufacturing
339910	title	Jewelry and Silverware Manufacturing 
33992	title	Sporting and Athletic Goods Manufacturing
339920	title	Sporting and Athletic Goods Manufacturing
33993	title	Doll, Toy, and Game Manufacturing
339930	title	Doll, Toy, and Game Manufacturing
33994	title	Office Supplies (except Paper) Manufacturing
339940	title	Office Supplies (except Paper) Manufacturing
