Microsoft	industry	Software development
Microsoft	founded	April 4, 1975
Microsoft	headquarters	Redmond, Washington, US
Microsoft	employees	148465
XING	employees	1567
XING	founded	August 2003
XING	headquarters	Hamburg, Germany
Google	industry	Internet
Google	founded	September 4, 1998
Google	headquarters	Mountain View, California, U.S.
Google	employees	114096
